ID,Productos,Calificación
96,"Klip Xtreme Audífonos Blast, Bluetooth, Inalámbrico, Negro/Verde",0
95,"Iogear Audífonos Gamer GHG601, Alámbrico, 1.2 Metros, 3.5mm, Negro",0
93,"Ginga Audífonos con Micrófono GI18ADJ01BT-RO, Bluetooth, Alámbrico/Inalámbrico, 3.5mm, Rojo",0
92,"Getttech Audífonos con Micrófono Sonority, Alámbrico, 1.2 Metros, 3.5mm, Negro/Rosa",0
91,"Genius GHP-400S Audífonos, Alámbrico, 1.5 Metros, Rosa",0
90,"Energy Sistem Audífonos con Micrófono Headphones 1, Bluetooh, Inalámbrico, Negro/Grafito",0
88,"Audífonos Gamer Balam Rush Orphix RGB 7.1, Alámbrico, USB, Negro",0
87,"Acer Audífonos Gamer Galea 300, Alámbrico, 3.5mm, Negro",0
86,"ASUS Audífonos Gamer ROG Theta 7.1, Alámbrico, USB C, Negro",0
83,"Ghia Bocina Portátil BX500, Bluetooth, Inalámbrico, 10W RMS, USB, Gris",0
82,"Ghia Bocina Portátil BX400, Bluetooth, Inalámbrico, 8W RMS, USB, Negro",0
81,"Ghia Bocina Portátil BX900, Bluetooth, Inalámbrico, 2.1 Canales, 34W, USB, Negro - Resistente al Agua",0
80,"Ghia Bocina Portátil BX800, Bluetooth, Inalámbrico, 2.1 Canales, 31W, USB, Negro",0
79,"Naceb Bocina Portátil NA-0301, Bluetooth, Inalámbrico, USB 2.0, Rojo",0
78,"Ghia Bocina Portátil BX300, Bluetooth, Inalámbrico, 40W RMS, USB, Rojo - Resistente al Agua",0
77,"Verbatim Bocina Portátil Mini, Bluetooth, Inalámbrico, 3W RMS, USB, Blanco",0
76,"Acteck Bocina con Subwoofer AXF-290, Bluetooth, Inalámbrico, 2.1, 18W RMS, 180W PMPO, USB, Negro",0
75,"Lenovo Barra de Sonido, Alámbrico, 2.5W, USB, Negro",0
73,"Samsung Smart TV LED UN55TU7000FXZX 55, 4K Ultra HD, Widescreen, Negro/Gris",0
72,"Hisense Smart TV LED 50H8F 49.5, 4K Ultra HD, Widescreen, Negro",0
